"URL","Image","Name","Price","Discount","Rating"
"https://meesho.com/rajasthani-rangrez-art-and-silk-bandhej-sarees/p/12yzue","https://images.meesho.com/images/products/65458166/luhnt_512.jpg","RAJASTHANI RANGREZ ART AND SILK BANDHEJ SAREES","₹497","17%","NULL"
"https://meesho.com/mahira-sensational-sarees/p/wmjes","https://images.meesho.com/images/products/54799300/fdahv_512.jpg","mahira sensational sarees","₹261","30%","3.8"
"https://meesho.com/rajasthani-rangrez-art-and-silk-bandhej-sarees/p/12yzua","https://images.meesho.com/images/products/65458162/r3u2g_512.jpg","RAJASTHANI RANGREZ ART AND SILK BANDHEJ SAREES","₹497","17%","NULL"
"https://meesho.com/fancy-saree/p/12yysq","https://images.meesho.com/images/products/65456810/f1sgt_512.jpg","fancy saree","₹435","19%","3.8"
"https://meesho.com/silk-saree/p/qaieo","https://images.meesho.com/images/products/44160432/rzjub_512.jpg","silk saree","₹559","16%","NULL"
"https://meesho.com/trendy-petite-sarees/p/12yybs","https://images.meesho.com/images/products/65456200/glmbk_512.jpg","Trendy Petite Sarees","₹574","15%","4.1"
"https://meesho.com/kanjivarrm-silk-saree/p/12skks","https://images.meesho.com/images/products/65158444/do0mt_512.jpg","kanjivarrm silk Saree","₹470","18%","3.2"
"https://meesho.com/new-sequence-sarees/p/pq7pd","https://images.meesho.com/images/products/43213441/mdn1a_512.jpg","NEW SEQUENCE SAREES","₹517","17%","NULL"
"https://meesho.com/smart-women-purple-saree-with-big-border/p/wpw8e","https://images.meesho.com/images/products/54955886/y8ir5_512.jpg","Smart Women Purple Saree with big Border","₹264","29%","3.3"
"https://meesho.com/asha-enterprise-chanderi-cotton-embroidred-saree-with-blouse-blue-color/p/5mofz","https://images.meesho.com/images/products/9456191/aa5f4_512.jpg","Asha Enterprise Chanderi Cotton Embroidred Saree With Blouse (Blue Color)","₹250","30%","NULL"
"https://meesho.com/balaton-silk-saree/p/12sl3x","https://images.meesho.com/images/products/65159133/ywhgm_512.jpg","Balaton silk Saree","₹632","14%","3.2"
"https://meesho.com/laaj-creation-saree-for-party-wedding-festival/p/12yztw","https://images.meesho.com/images/products/65458148/jznqu_512.jpg","Laaj Creation Saree For Party, Wedding, Festival.","₹1082","8%","3.6"
"https://meesho.com/georgette-printed-party-wear-saree-with-blouse/p/12yyu4","https://images.meesho.com/images/products/65456860/0suo6_512.jpg","Georgette Printed Party Wear Saree With Blouse","₹400","20%","3.5"
"https://meesho.com/charvi-fashionable-sarees/p/12yyd7","https://images.meesho.com/images/products/65456251/pyqww_512.jpg","Charvi Fashionable Sarees","₹782","11%","3.9"
"https://meesho.com/vichitra-silk/p/wujn5","https://images.meesho.com/images/products/55172849/zngdb_512.jpg","vichitra silk","₹279","28%","4.0"
"https://meesho.com/womens-chiffon-red-green-bhandhini-printed-full-lace-saree-with-blouse/p/12yyzt","https://images.meesho.com/images/products/65457065/30t3h_512.jpg","Women’s Chiffon Red Green Bhandhini Printed Full Lace Saree With Blouse","₹425","19%","NULL"
"https://meesho.com/georgette-printed-party-wear-saree-with-blouse/p/12yyts","https://images.meesho.com/images/products/65456848/0cyzw_512.jpg","Georgette Printed Party Wear Saree With Blouse","₹400","20%","3.5"
"https://meesho.com/georgette-printed-party-wear-saree-with-blouse/p/12yytt","https://images.meesho.com/images/products/65456849/vdx4t_512.jpg","Georgette Printed Party Wear Saree With Blouse","₹400","20%","3.5"
"https://meesho.com/cotton-saree/p/yixgs","https://images.meesho.com/images/products/57990124/xctfg_512.jpg","Cotton saree","₹428","20%","NULL"
"https://meesho.com/georgette-printed-party-wear-saree-with-blouse/p/12yytu","https://images.meesho.com/images/products/65456850/johos_512.jpg","Georgette Printed Party Wear Saree With Blouse","₹400","20%","3.5"
